ACTION QUERY 10000 10 Cult Lifestyles
ACTION SNIPPET 10000 767 SNIPPET_RELEVANT b'916667'
ACTION DOC 10000 787 EXAMINING_DOCUMENT b'916667'
ACTION QUERY 10000 797 The People's Temple
ACTION SERP 10000 802 EXAMINE_SERP
ACTION SNIPPET 10000 805 SNIPPET_NOT_RELEVANT b'184278'
ACTION SNIPPET 10000 808 SNIPPET_NOT_RELEVANT b'317628'
ACTION SNIPPET 10000 811 SNIPPET_NOT_RELEVANT b'1421851'
ACTION SNIPPET 10000 814 SNIPPET_RELEVANT b'144552'
ACTION DOC 10000 834 EXAMINING_DOCUMENT b'144552'
ACTION SNIPPET 10000 837 SNIPPET_NOT_RELEVANT b'790510'
ACTION SNIPPET 10000 840 SNIPPET_NOT_RELEVANT b'1297110'
ACTION SNIPPET 10000 843 SNIPPET_NOT_RELEVANT b'238776'
ACTION SNIPPET 10000 846 SNIPPET_RELEVANT b'581584'
ACTION DOC 10000 866 EXAMINING_DOCUMENT b'581584'
ACTION QUERY 10000 876 Branch Davidians
ACTION SERP 10000 881 EXAMINE_SERP
ACTION SNIPPET 10000 884 SNIPPET_RELEVANT b'1301255'
ACTION DOC 10000 904 EXAMINING_DOCUMENT b'1301255'
ACTION SNIPPET 10000 907 SNIPPET_NOT_RELEVANT b'1232434'
ACTION SNIPPET 10000 910 SNIPPET_RELEVANT b'756677'
ACTION DOC 10000 930 EXAMINING_DOCUMENT b'756677'
ACTION MARK 10000 933 CONSIDERED_RELEVANT b'756677'
ACTION SNIPPET 10000 936 SNIPPET_NOT_RELEVANT b'760345'
ACTION SNIPPET 10000 939 SNIPPET_RELEVANT b'766288'
ACTION DOC 10000 959 EXAMINING_DOCUMENT b'766288'
ACTION MARK 10000 962 CONSIDERED_RELEVANT b'766288'
ACTION SNIPPET 10000 965 SNIPPET_NOT_RELEVANT b'843814'
ACTION SNIPPET 10000 968 SNIPPET_NOT_RELEVANT b'637786'
ACTION SNIPPET 10000 971 SNIPPET_NOT_RELEVANT b'1209081'
ACTION SNIPPET 10000 974 SNIPPET_RELEVANT b'1391630'
ACTION DOC 10000 994 EXAMINING_DOCUMENT b'1391630'
ACTION SNIPPET 10000 997 SNIPPET_RELEVANT b'1208678'
ACTION DOC 10000 1017 EXAMINING_DOCUMENT b'1208678'
ACTION QUERY 10000 1027 Children of God
ACTION SERP 10000 1032 EXAMINE_SERP
ACTION SNIPPET 10000 1035 SNIPPET_NOT_RELEVANT b'726421'
ACTION SNIPPET 10000 1038 SNIPPET_NOT_RELEVANT b'1593652'
ACTION SNIPPET 10000 1041 SNIPPET_NOT_RELEVANT b'1651063'
ACTION SNIPPET 10000 1044 SNIPPET_NOT_RELEVANT b'757755'
ACTION SNIPPET 10000 1047 SNIPPET_RELEVANT b'795642'
ACTION DOC 10000 1067 EXAMINING_DOCUMENT b'795642'
ACTION SNIPPET 10000 1070 SNIPPET_RELEVANT b'794935'
ACTION DOC 10000 1090 EXAMINING_DOCUMENT b'794935'
ACTION QUERY 10000 1100 Osho Rajneesh
ACTION SERP 10000 1105 EXAMINE_SERP
ACTION SNIPPET 10000 1108 SNIPPET_NOT_RELEVANT b'1447398'
ACTION SNIPPET 10000 1111 SNIPPET_RELEVANT b'318344'
ACTION DOC 10000 1131 EXAMINING_DOCUMENT b'318344'
ACTION SNIPPET 10000 1134 SNIPPET_NOT_RELEVANT b'1011695'
ACTION SNIPPET 10000 1137 SNIPPET_RELEVANT b'67576'
ACTION DOC 10000 1157 EXAMINING_DOCUMENT b'67576'
ACTION QUERY 10000 1167 The Family International
ACTION SERP 10000 1172 EXAMINE_SERP
ACTION SNIPPET 10000 1175 SNIPPET_NOT_RELEVANT b'936763'
ACTION SNIPPET 10000 1178 SNIPPET_NOT_RELEVANT b'687820'
ACTION SNIPPET 10000 1181 SNIPPET_NOT_RELEVANT b'68845'
ACTION SNIPPET 10000 1184 SNIPPET_NOT_RELEVANT b'146845'
ACTION SNIPPET 10000 1187 SNIPPET_NOT_RELEVANT b'45579'
ACTION SNIPPET 10000 1190 SNIPPET_NOT_RELEVANT b'756953'
ACTION SNIPPET 10000 1193 SNIPPET_RELEVANT b'1117201'
ACTION DOC 10000 1213 EXAMINING_DOCUMENT b'1117201'
ACTION SNIPPET 10000 1216 SNIPPET_NOT_RELEVANT b'151053'
ACTION SNIPPET 10000 1219 SNIPPET_RELEVANT b'876766'
ACTION DOC 10000 1239 EXAMINING_DOCUMENT b'876766'
ACTION QUERY 10000 1249 Aum Shinrikyo
ACTION SERP 10000 1254 EXAMINE_SERP
ACTION SNIPPET 10000 1257 SNIPPET_RELEVANT b'1150317'
ACTION DOC 10000 1277 EXAMINING_DOCUMENT b'1150317'
ACTION MARK 10000 1280 CONSIDERED_RELEVANT b'1150317'
ACTION SNIPPET 10000 1283 SNIPPET_RELEVANT b'752212'
ACTION DOC 10000 1303 EXAMINING_DOCUMENT b'752212'
ACTION MARK 10000 1306 CONSIDERED_RELEVANT b'752212'
ACTION SNIPPET 10000 1309 SNIPPET_RELEVANT b'750307'
ACTION DOC 10000 1329 EXAMINING_DOCUMENT b'750307'
ACTION MARK 10000 1332 CONSIDERED_RELEVANT b'750307'
ACTION SNIPPET 10000 1335 SNIPPET_RELEVANT b'816137'
ACTION DOC 10000 1355 EXAMINING_DOCUMENT b'816137'
ACTION MARK 10000 1358 CONSIDERED_RELEVANT b'816137'
ACTION SNIPPET 10000 1361 SNIPPET_RELEVANT b'750561'
ACTION DOC 10000 1381 EXAMINING_DOCUMENT b'750561'
ACTION MARK 10000 1384 CONSIDERED_RELEVANT b'750561'
ACTION SNIPPET 10000 1387 SNIPPET_RELEVANT b'1171107'
ACTION DOC 10000 1407 EXAMINING_DOCUMENT b'1171107'
ACTION SNIPPET 10000 1410 SNIPPET_RELEVANT b'750525'
ACTION DOC 10000 1430 EXAMINING_DOCUMENT b'750525'
ACTION MARK 10000 1433 CONSIDERED_RELEVANT b'750525'
ACTION SNIPPET 10000 1436 SNIPPET_RELEVANT b'751928'
ACTION DOC 10000 1456 EXAMINING_DOCUMENT b'751928'
ACTION MARK 10000 1459 CONSIDERED_RELEVANT b'751928'
ACTION SNIPPET 10000 1462 SNIPPET_NOT_RELEVANT b'757774'
ACTION SNIPPET 10000 1465 SNIPPET_NOT_RELEVANT b'1149889'
ACTION SNIPPET 10000 1468 SNIPPET_RELEVANT b'751757'
ACTION DOC 10000 1488 EXAMINING_DOCUMENT b'751757'
ACTION MARK 10000 1491 CONSIDERED_RELEVANT b'751757'
ACTION SNIPPET 10000 1494 SNIPPET_NOT_RELEVANT b'753514'
ACTION SNIPPET 10000 1497 SNIPPET_RELEVANT b'763961'
ACTION DOC 10000 1517 EXAMINING_DOCUMENT b'763961'
ACTION MARK 10000 1520 CONSIDERED_RELEVANT b'763961'
ACTION SNIPPET 10000 1523 SNIPPET_RELEVANT b'750743'
ACTION DOC 10000 1543 EXAMINING_DOCUMENT b'750743'
ACTION MARK 10000 1546 CONSIDERED_RELEVANT b'750743'
ACTION SNIPPET 10000 1549 SNIPPET_RELEVANT b'755141'
ACTION DOC 10000 1569 EXAMINING_DOCUMENT b'755141'
ACTION MARK 10000 1572 CONSIDERED_RELEVANT b'755141'
ACTION SNIPPET 10000 1575 SNIPPET_RELEVANT b'751923'
ACTION DOC 10000 1595 EXAMINING_DOCUMENT b'751923'
ACTION SNIPPET 10000 1598 SNIPPET_RELEVANT b'1053343'
ACTION DOC 10000 1618 EXAMINING_DOCUMENT b'1053343'
ACTION MARK 10000 1621 CONSIDERED_RELEVANT b'1053343'
ACTION SNIPPET 10000 1624 SNIPPET_RELEVANT b'846218'
ACTION DOC 10000 1644 EXAMINING_DOCUMENT b'846218'
ACTION MARK 10000 1647 CONSIDERED_RELEVANT b'846218'
ACTION SNIPPET 10000 1650 SNIPPET_RELEVANT b'836450'
ACTION DOC 10000 1670 EXAMINING_DOCUMENT b'836450'
ACTION MARK 10000 1673 CONSIDERED_RELEVANT b'836450'
ACTION SNIPPET 10000 1676 SNIPPET_RELEVANT b'850912'
ACTION DOC 10000 1696 EXAMINING_DOCUMENT b'850912'
ACTION MARK 10000 1699 CONSIDERED_RELEVANT b'850912'
ACTION SNIPPET 10000 1702 SNIPPET_NOT_RELEVANT b'917723'
ACTION SNIPPET 10000 1705 SNIPPET_RELEVANT b'803048'
ACTION DOC 10000 1725 EXAMINING_DOCUMENT b'803048'
ACTION MARK 10000 1728 CONSIDERED_RELEVANT b'803048'
ACTION SNIPPET 10000 1731 SNIPPET_RELEVANT b'803347'
ACTION DOC 10000 1751 EXAMINING_DOCUMENT b'803347'
ACTION MARK 10000 1754 CONSIDERED_RELEVANT b'803347'
ACTION SNIPPET 10000 1757 SNIPPET_RELEVANT b'805753'
ACTION DOC 10000 1777 EXAMINING_DOCUMENT b'805753'
ACTION MARK 10000 1780 CONSIDERED_RELEVANT b'805753'
ACTION SNIPPET 10000 1783 SNIPPET_RELEVANT b'805488'
ACTION DOC 10000 1803 EXAMINING_DOCUMENT b'805488'
ACTION MARK 10000 1806 CONSIDERED_RELEVANT b'805488'
ACTION SNIPPET 10000 1809 SNIPPET_RELEVANT b'1173003'
ACTION DOC 10000 1829 EXAMINING_DOCUMENT b'1173003'
ACTION MARK 10000 1832 CONSIDERED_RELEVANT b'1173003'
ACTION SNIPPET 10000 1835 SNIPPET_RELEVANT b'757098'
ACTION DOC 10000 1855 EXAMINING_DOCUMENT b'757098'
ACTION MARK 10000 1858 CONSIDERED_RELEVANT b'757098'
ACTION SNIPPET 10000 1861 SNIPPET_RELEVANT b'1160075'
ACTION DOC 10000 1881 EXAMINING_DOCUMENT b'1160075'
ACTION MARK 10000 1884 CONSIDERED_RELEVANT b'1160075'
ACTION SNIPPET 10000 1887 SNIPPET_RELEVANT b'758795'
ACTION DOC 10000 1907 EXAMINING_DOCUMENT b'758795'
ACTION MARK 10000 1910 CONSIDERED_RELEVANT b'758795'
ACTION SNIPPET 10000 1913 SNIPPET_NOT_RELEVANT b'754056'
ACTION SNIPPET 10000 1916 SNIPPET_RELEVANT b'775575'
ACTION DOC 10000 1936 EXAMINING_DOCUMENT b'775575'
ACTION MARK 10000 1939 CONSIDERED_RELEVANT b'775575'
ACTION SNIPPET 10000 1942 SNIPPET_RELEVANT b'751127'
ACTION DOC 10000 1962 EXAMINING_DOCUMENT b'751127'
ACTION MARK 10000 1965 CONSIDERED_RELEVANT b'751127'
ACTION SNIPPET 10000 1968 SNIPPET_RELEVANT b'796175'
ACTION DOC 10000 1988 EXAMINING_DOCUMENT b'796175'
ACTION MARK 10000 1991 CONSIDERED_RELEVANT b'796175'
ACTION SNIPPET 10000 1994 SNIPPET_RELEVANT b'796412'
ACTION DOC 10000 2014 EXAMINING_DOCUMENT b'796412'
ACTION MARK 10000 2017 CONSIDERED_RELEVANT b'796412'
ACTION SNIPPET 10000 2020 SNIPPET_RELEVANT b'763438'
ACTION DOC 10000 2040 EXAMINING_DOCUMENT b'763438'
ACTION MARK 10000 2043 CONSIDERED_RELEVANT b'763438'
ACTION SNIPPET 10000 2046 SNIPPET_NOT_RELEVANT b'1164690'
ACTION SNIPPET 10000 2049 SNIPPET_RELEVANT b'750718'
ACTION DOC 10000 2069 EXAMINING_DOCUMENT b'750718'
ACTION MARK 10000 2072 CONSIDERED_RELEVANT b'750718'
ACTION SNIPPET 10000 2075 SNIPPET_NOT_RELEVANT b'767456'
ACTION SNIPPET 10000 2078 SNIPPET_NOT_RELEVANT b'1134474'
ACTION SNIPPET 10000 2081 SNIPPET_RELEVANT b'763034'
ACTION DOC 10000 2101 EXAMINING_DOCUMENT b'763034'
ACTION MARK 10000 2104 CONSIDERED_RELEVANT b'763034'
ACTION SNIPPET 10000 2107 SNIPPET_NOT_RELEVANT b'1562815'
ACTION SNIPPET 10000 2110 SNIPPET_RELEVANT b'763009'
ACTION DOC 10000 2130 EXAMINING_DOCUMENT b'763009'
ACTION MARK 10000 2133 CONSIDERED_RELEVANT b'763009'
ACTION SNIPPET 10000 2136 SNIPPET_RELEVANT b'759939'
ACTION DOC 10000 2156 EXAMINING_DOCUMENT b'759939'
ACTION MARK 10000 2159 CONSIDERED_RELEVANT b'759939'
ACTION SNIPPET 10000 2162 SNIPPET_RELEVANT b'751377'
ACTION DOC 10000 2182 EXAMINING_DOCUMENT b'751377'
ACTION SNIPPET 10000 2185 SNIPPET_NOT_RELEVANT b'763176'
ACTION SNIPPET 10000 2188 SNIPPET_RELEVANT b'770380'
ACTION DOC 10000 2208 EXAMINING_DOCUMENT b'770380'
ACTION MARK 10000 2211 CONSIDERED_RELEVANT b'770380'
ACTION SNIPPET 10000 2214 SNIPPET_RELEVANT b'1431217'
ACTION DOC 10000 2234 EXAMINING_DOCUMENT b'1431217'
ACTION MARK 10000 2237 CONSIDERED_RELEVANT b'1431217'
ACTION SNIPPET 10000 2240 SNIPPET_RELEVANT b'762061'
ACTION DOC 10000 2260 EXAMINING_DOCUMENT b'762061'
ACTION MARK 10000 2263 CONSIDERED_RELEVANT b'762061'
ACTION SNIPPET 10000 2266 SNIPPET_RELEVANT b'803425'
ACTION DOC 10000 2286 EXAMINING_DOCUMENT b'803425'
ACTION MARK 10000 2289 CONSIDERED_RELEVANT b'803425'
ACTION SNIPPET 10000 2292 SNIPPET_RELEVANT b'770192'
ACTION DOC 10000 2312 EXAMINING_DOCUMENT b'770192'
ACTION MARK 10000 2315 CONSIDERED_RELEVANT b'770192'
ACTION SNIPPET 10000 2318 SNIPPET_RELEVANT b'751301'
ACTION DOC 10000 2338 EXAMINING_DOCUMENT b'751301'
ACTION MARK 10000 2341 CONSIDERED_RELEVANT b'751301'
ACTION SNIPPET 10000 2344 SNIPPET_RELEVANT b'751134'
ACTION DOC 10000 2364 EXAMINING_DOCUMENT b'751134'
ACTION MARK 10000 2367 CONSIDERED_RELEVANT b'751134'
ACTION SNIPPET 10000 2370 SNIPPET_NOT_RELEVANT b'750844'
ACTION SNIPPET 10000 2373 SNIPPET_NOT_RELEVANT b'1053360'
ACTION SNIPPET 10000 2376 SNIPPET_RELEVANT b'886202'
ACTION DOC 10000 2396 EXAMINING_DOCUMENT b'886202'
ACTION SNIPPET 10000 2399 SNIPPET_RELEVANT b'1334039'
ACTION DOC 10000 2419 EXAMINING_DOCUMENT b'1334039'
ACTION MARK 10000 2422 CONSIDERED_RELEVANT b'1334039'
ACTION SNIPPET 10000 2425 SNIPPET_RELEVANT b'795964'
ACTION DOC 10000 2445 EXAMINING_DOCUMENT b'795964'
ACTION MARK 10000 2448 CONSIDERED_RELEVANT b'795964'
ACTION SNIPPET 10000 2451 SNIPPET_RELEVANT b'1403973'
ACTION DOC 10000 2471 EXAMINING_DOCUMENT b'1403973'
ACTION MARK 10000 2474 CONSIDERED_RELEVANT b'1403973'
ACTION SNIPPET 10000 2477 SNIPPET_RELEVANT b'1459335'
ACTION DOC 10000 2497 EXAMINING_DOCUMENT b'1459335'
ACTION MARK 10000 2500 CONSIDERED_RELEVANT b'1459335'
ACTION SNIPPET 10000 2503 SNIPPET_RELEVANT b'756669'
ACTION DOC 10000 2523 EXAMINING_DOCUMENT b'756669'
ACTION MARK 10000 2526 CONSIDERED_RELEVANT b'756669'
ACTION SNIPPET 10000 2529 SNIPPET_RELEVANT b'1337242'
ACTION DOC 10000 2549 EXAMINING_DOCUMENT b'1337242'
ACTION SNIPPET 10000 2552 SNIPPET_RELEVANT b'750485'
ACTION DOC 10000 2572 EXAMINING_DOCUMENT b'750485'
ACTION MARK 10000 2575 CONSIDERED_RELEVANT b'750485'
ACTION SNIPPET 10000 2578 SNIPPET_RELEVANT b'753065'
ACTION DOC 10000 2598 EXAMINING_DOCUMENT b'753065'
ACTION MARK 10000 2601 CONSIDERED_RELEVANT b'753065'
ACTION SNIPPET 10000 2604 SNIPPET_RELEVANT b'1133523'
ACTION DOC 10000 2624 EXAMINING_DOCUMENT b'1133523'
ACTION MARK 10000 2627 CONSIDERED_RELEVANT b'1133523'
ACTION SNIPPET 10000 2630 SNIPPET_RELEVANT b'795233'
ACTION DOC 10000 2650 EXAMINING_DOCUMENT b'795233'
ACTION MARK 10000 2653 CONSIDERED_RELEVANT b'795233'
ACTION SNIPPET 10000 2656 SNIPPET_RELEVANT b'795721'
ACTION DOC 10000 2676 EXAMINING_DOCUMENT b'795721'
ACTION MARK 10000 2679 CONSIDERED_RELEVANT b'795721'
ACTION SNIPPET 10000 2682 SNIPPET_RELEVANT b'925234'
ACTION DOC 10000 2702 EXAMINING_DOCUMENT b'925234'
ACTION MARK 10000 2705 CONSIDERED_RELEVANT b'925234'
ACTION SNIPPET 10000 2708 SNIPPET_RELEVANT b'1226793'
ACTION DOC 10000 2728 EXAMINING_DOCUMENT b'1226793'
ACTION MARK 10000 2731 CONSIDERED_RELEVANT b'1226793'
ACTION SNIPPET 10000 2734 SNIPPET_RELEVANT b'760904'
ACTION DOC 10000 2754 EXAMINING_DOCUMENT b'760904'
ACTION SNIPPET 10000 2757 SNIPPET_NOT_RELEVANT b'804157'
ACTION SNIPPET 10000 2760 SNIPPET_RELEVANT b'1134927'
ACTION DOC 10000 2780 EXAMINING_DOCUMENT b'1134927'
ACTION MARK 10000 2783 CONSIDERED_RELEVANT b'1134927'
ACTION SNIPPET 10000 2786 SNIPPET_RELEVANT b'1562390'
ACTION DOC 10000 2806 EXAMINING_DOCUMENT b'1562390'
ACTION MARK 10000 2809 CONSIDERED_RELEVANT b'1562390'
ACTION SNIPPET 10000 2812 SNIPPET_NOT_RELEVANT b'763248'
ACTION SNIPPET 10000 2815 SNIPPET_RELEVANT b'847026'
ACTION DOC 10000 2835 EXAMINING_DOCUMENT b'847026'
ACTION MARK 10000 2838 CONSIDERED_RELEVANT b'847026'
ACTION SNIPPET 10000 2841 SNIPPET_NOT_RELEVANT b'750308'
ACTION SNIPPET 10000 2844 SNIPPET_NOT_RELEVANT b'905700'
ACTION SNIPPET 10000 2847 SNIPPET_NOT_RELEVANT b'758430'
ACTION SNIPPET 10000 2850 SNIPPET_RELEVANT b'1169712'
ACTION DOC 10000 2870 EXAMINING_DOCUMENT b'1169712'
ACTION MARK 10000 2873 CONSIDERED_RELEVANT b'1169712'
ACTION SNIPPET 10000 2876 SNIPPET_RELEVANT b'766237'
ACTION DOC 10000 2896 EXAMINING_DOCUMENT b'766237'
ACTION SNIPPET 10000 2899 SNIPPET_RELEVANT b'1137389'
ACTION DOC 10000 2919 EXAMINING_DOCUMENT b'1137389'
ACTION MARK 10000 2922 CONSIDERED_RELEVANT b'1137389'
ACTION SNIPPET 10000 2925 SNIPPET_NOT_RELEVANT b'1562296'
ACTION SNIPPET 10000 2928 SNIPPET_RELEVANT b'1180079'
ACTION DOC 10000 2948 EXAMINING_DOCUMENT b'1180079'
ACTION MARK 10000 2951 CONSIDERED_RELEVANT b'1180079'
ACTION SNIPPET 10000 2954 SNIPPET_RELEVANT b'1180703'
ACTION DOC 10000 2974 EXAMINING_DOCUMENT b'1180703'
ACTION SNIPPET 10000 2977 SNIPPET_RELEVANT b'762885'
ACTION DOC 10000 2997 EXAMINING_DOCUMENT b'762885'
ACTION MARK 10000 3000 CONSIDERED_RELEVANT b'762885'
ACTION SNIPPET 10000 3003 SNIPPET_RELEVANT b'903257'
ACTION DOC 10000 3023 EXAMINING_DOCUMENT b'903257'
ACTION SNIPPET 10000 3026 SNIPPET_RELEVANT b'755275'
ACTION DOC 10000 3046 EXAMINING_DOCUMENT b'755275'
ACTION MARK 10000 3049 CONSIDERED_RELEVANT b'755275'
ACTION SNIPPET 10000 3052 SNIPPET_RELEVANT b'757222'
ACTION DOC 10000 3072 EXAMINING_DOCUMENT b'757222'
ACTION MARK 10000 3075 CONSIDERED_RELEVANT b'757222'
ACTION SNIPPET 10000 3078 SNIPPET_RELEVANT b'754729'
ACTION DOC 10000 3098 EXAMINING_DOCUMENT b'754729'
ACTION MARK 10000 3101 CONSIDERED_RELEVANT b'754729'
ACTION SNIPPET 10000 3104 SNIPPET_RELEVANT b'766868'
ACTION DOC 10000 3124 EXAMINING_DOCUMENT b'766868'
ACTION SNIPPET 10000 3127 SNIPPET_NOT_RELEVANT b'1393610'
ACTION SNIPPET 10000 3130 SNIPPET_NOT_RELEVANT b'771099'
ACTION SNIPPET 10000 3133 SNIPPET_RELEVANT b'855248'
ACTION DOC 10000 3153 EXAMINING_DOCUMENT b'855248'
ACTION QUERY 10000 3163 Order of the Solar Temple
ACTION SERP 10000 3168 EXAMINE_SERP
ACTION SNIPPET 10000 3171 SNIPPET_RELEVANT b'918608'
ACTION DOC 10000 3191 EXAMINING_DOCUMENT b'918608'
ACTION MARK 10000 3194 CONSIDERED_RELEVANT b'918608'
ACTION SNIPPET 10000 3197 SNIPPET_RELEVANT b'818750'
ACTION DOC 10000 3217 EXAMINING_DOCUMENT b'818750'
ACTION MARK 10000 3220 CONSIDERED_RELEVANT b'818750'
ACTION SNIPPET 10000 3223 SNIPPET_RELEVANT b'818310'
ACTION DOC 10000 3243 EXAMINING_DOCUMENT b'818310'
ACTION MARK 10000 3246 CONSIDERED_RELEVANT b'818310'
ACTION SNIPPET 10000 3249 SNIPPET_RELEVANT b'716342'
ACTION DOC 10000 3269 EXAMINING_DOCUMENT b'716342'
ACTION MARK 10000 3272 CONSIDERED_RELEVANT b'716342'
ACTION SNIPPET 10000 3275 SNIPPET_RELEVANT b'716340'
ACTION DOC 10000 3295 EXAMINING_DOCUMENT b'716340'
ACTION MARK 10000 3298 CONSIDERED_RELEVANT b'716340'
ACTION SNIPPET 10000 3301 SNIPPET_NOT_RELEVANT b'818584'
ACTION SNIPPET 10000 3304 SNIPPET_RELEVANT b'716323'
ACTION DOC 10000 3324 EXAMINING_DOCUMENT b'716323'
ACTION MARK 10000 3327 CONSIDERED_RELEVANT b'716323'
ACTION SNIPPET 10000 3330 SNIPPET_RELEVANT b'716520'
ACTION DOC 10000 3350 EXAMINING_DOCUMENT b'716520'
